1600277119 INTERNAL *** MONITORD_STARTED ***
1600277118 INTERNAL *** DAGMAN_STARTED 1.0 ***
1600277122 create_dir_Cats_and_Dogs_0_local SUBMIT 2.0 local - 1
1600277123 create_dir_Cats_and_Dogs_0_local EXECUTE 2.0 local - 1
1600277125 create_dir_Cats_and_Dogs_0_local JOB_TERMINATED 2.0 local - 1
1600277127 create_dir_Cats_and_Dogs_0_local JOB_SUCCESS 0 local - 1
1600277127 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_STARTED 2.0 local - 1
1600277127 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_TERMINATED 2.0 local - 1
1600277132 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_SUCCESS 0 local - 1
1600277137 stage_in_remote_local_2_0 SUBMIT 3.0 local - 2
1600277137 stage_in_remote_local_1_0 SUBMIT 4.0 local - 3
1600277137 stage_in_remote_local_0_0 SUBMIT 5.0 local - 4
1600277137 stage_in_local_local_4_0 SUBMIT 6.0 local - 5
1600277137 stage_in_local_local_0_0 SUBMIT 7.0 local - 6
1600277137 stage_in_remote_local_4_0 SUBMIT 8.0 local - 7
1600277137 stage_in_remote_local_3_0 SUBMIT 9.0 local - 8
1600277140 stage_in_remote_local_2_0 EXECUTE 3.0 local - 2
1600277140 stage_in_local_local_4_0 EXECUTE 6.0 local - 5
1600277140 stage_in_remote_local_3_0 EXECUTE 9.0 local - 8
1600277140 stage_in_remote_local_0_0 EXECUTE 5.0 local - 4
1600277140 stage_in_remote_local_4_0 EXECUTE 8.0 local - 7
1600277140 stage_in_remote_local_1_0 EXECUTE 4.0 local - 3
1600277140 stage_in_local_local_0_0 EXECUTE 7.0 local - 6
1600277143 stage_in_remote_local_3_0 JOB_TERMINATED 9.0 local - 8
1600277147 stage_in_remote_local_3_0 JOB_SUCCESS 0 local - 8
1600277147 stage_in_remote_local_3_0 POST_SCRIPT_STARTED 9.0 local - 8
1600277143 stage_in_remote_local_2_0 JOB_TERMINATED 3.0 local - 2
1600277147 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1600277147 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 3.0 local - 2
1600277143 stage_in_local_local_4_0 JOB_TERMINATED 6.0 local - 5
1600277147 stage_in_local_local_4_0 JOB_SUCCESS 0 local - 5
1600277147 stage_in_local_local_4_0 POST_SCRIPT_STARTED 6.0 local - 5
1600277143 stage_in_remote_local_0_0 JOB_TERMINATED 5.0 local - 4
1600277147 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1600277147 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 5.0 local - 4
1600277143 stage_in_remote_local_4_0 JOB_TERMINATED 8.0 local - 7
